transaction_date,security_title,shares,price_per_share,remaining_shares,accession_number,name,title,reporting_date,issuer_cik,owner_cik,buy_sell,ownership_nature,url,filing_date,company_stock_id
2025-08-14,Common Stock,18000.0,4.290599822998047,518000.0,0000018926-25-000099,Stansbury Christopher,EVP and CFO,2025-08-14,18926,1674266,Buy,Indirect,https://www.sec.gov/Archives/edgar/data/18926/000001892625000099/xslF345X05/wk-form4_1755296056.xml,2025-08-15,-1.0
2025-08-14,Common Stock,12000.0,4.290599822998047,12000.0,0000018926-25-000099,Stansbury Christopher,EVP and CFO,2025-08-14,18926,1674266,Buy,Indirect,https://www.sec.gov/Archives/edgar/data/18926/000001892625000099/xslF345X05/wk-form4_1755296056.xml,2025-08-15,-1.0
2025-08-14,Common Stock,12000.0,4.290599822998047,12000.0,0000018926-25-000099,Stansbury Christopher,EVP and CFO,2025-08-14,18926,1674266,Buy,Indirect,https://www.sec.gov/Archives/edgar/data/18926/000001892625000099/xslF345X05/wk-form4_1755296056.xml,2025-08-15,-1.0
2025-08-15,Common Stock,17000.0,4.438700199127197,535000.0,0000018926-25-000099,Stansbury Christopher,EVP and CFO,2025-08-14,18926,1674266,Buy,Indirect,https://www.sec.gov/Archives/edgar/data/18926/000001892625000099/xslF345X05/wk-form4_1755296056.xml,2025-08-15,-1.0
2025-08-15,Common Stock,11500.0,4.438700199127197,23500.0,0000018926-25-000099,Stansbury Christopher,EVP and CFO,2025-08-14,18926,1674266,Buy,Indirect,https://www.sec.gov/Archives/edgar/data/18926/000001892625000099/xslF345X05/wk-form4_1755296056.xml,2025-08-15,-1.0
2025-08-15,Common Stock,11500.0,4.438700199127197,23500.0,0000018926-25-000099,Stansbury Christopher,EVP and CFO,2025-08-14,18926,1674266,Buy,Indirect,https://www.sec.gov/Archives/edgar/data/18926/000001892625000099/xslF345X05/wk-form4_1755296056.xml,2025-08-15,-1.0
2025-08-05,Common Stock,135870.0,3.6930999755859375,9616947.0,0000018926-25-000095,Johnson Kathleen E,President & CEO,2025-08-05,18926,1831269,Buy,Direct,https://www.sec.gov/Archives/edgar/data/18926/000001892625000095/xslF345X05/wk-form4_1754598242.xml,2025-08-07,-1.0
2024-09-03,Common Stock,10000.0,4.698999881744385,384056.0,0000018926-24-000096,Fowler James,Director,2024-09-03,18926,1987925,Buy,Direct,https://www.sec.gov/Archives/edgar/data/18926/000001892624000096/xslF345X05/wk-form4_1725401782.xml,2024-09-03,-1.0
2024-05-02,Common Stock,750000.0,1.2798000574111938,7756290.0,0000018926-24-000056,Johnson Kathleen E,President & CEO,2024-05-02,18926,1831269,Buy,Direct,https://www.sec.gov/Archives/edgar/data/18926/000001892624000056/xslF345X05/wk-form4_1714738669.xml,2024-05-03,-1.0
2024-03-01,Common Stock,30000.0,1.5999000072479248,30000.0,0000018926-24-000024,SIEGEL LAURIE,Director,2024-03-01,18926,1223626,Buy,Indirect,https://www.sec.gov/Archives/edgar/data/18926/000001892624000024/xslF345X05/wk-form4_1709676790.xml,2024-03-05,-1.0
2024-02-26,Common Stock,50000.0,1.465999960899353,272019.0,0000018926-24-000022,GLENN T MICHAEL,Director,2024-02-26,18926,1197608,Buy,Direct,https://www.sec.gov/Archives/edgar/data/18926/000001892624000022/xslF345X05/wk-form4_1709070742.xml,2024-02-27,-1.0
2024-02-13,Common Stock,2500.0,1.6150000095367432,185538.0,0000018926-24-000012,Fowler James,Director,2024-02-13,18926,1987925,Buy,Direct,https://www.sec.gov/Archives/edgar/data/18926/000001892624000012/xslF345X05/wk-form4_1707947135.xml,2024-02-14,-1.0
2024-02-13,Common Stock,31000.0,1.690000057220459,216538.0,0000018926-24-000012,Fowler James,Director,2024-02-13,18926,1987925,Buy,Direct,https://www.sec.gov/Archives/edgar/data/18926/000001892624000012/xslF345X05/wk-form4_1707947135.xml,2024-02-14,-1.0
2024-02-09,Common Stock,30000.0,1.5,183038.0,0000018926-24-000010,Fowler James,Director,2024-02-09,18926,1987925,Buy,Direct,https://www.sec.gov/Archives/edgar/data/18926/000001892624000010/xslF345X05/wk-form4_1707777582.xml,2024-02-12,-1.0
2023-11-07,Common Stock,70000.0,1.398800015449524,153038.0,0000018926-23-000106,Fowler James,Director,2023-11-07,18926,1987925,Buy,Direct,https://www.sec.gov/Archives/edgar/data/18926/000001892623000106/xslF345X05/wk-form4_1699395592.xml,2023-11-07,-1.0
2023-11-03,Common Stock,500000.0,1.0988999605178833,500000.0,0000018926-23-000104,Stansbury Christopher,EVP and CFO,2023-11-03,18926,1674266,Buy,Indirect,https://www.sec.gov/Archives/edgar/data/18926/000001892623000104/xslF345X05/wk-form4_1699049217.xml,2023-11-03,-1.0
2023-11-02,Common Stock,1000000.0,0.9700000286102295,5148592.0,0000018926-23-000102,Johnson Kathleen E,President & CEO,2023-11-02,18926,1831269,Buy,Direct,https://www.sec.gov/Archives/edgar/data/18926/000001892623000102/xslF345X05/wk-form4_1699043600.xml,2023-11-03,-1.0
2025-06-30,Common Stock,10000.0,151.4600067138672,10000.0,0000950170-25-093086,Gundlach Andrew,Director,2025-06-30,766704,2031329,Buy,Indirect,https://www.sec.gov/Archives/edgar/data/766704/000095017025093086/xslF345X05/ownership.xml,2025-07-02,-1.0
2025-06-30,Common Stock,10000.0,151.4600067138672,20000.0,0000950170-25-093086,Gundlach Andrew,Director,2025-06-30,766704,2031329,Buy,Indirect,https://www.sec.gov/Archives/edgar/data/766704/000095017025093086/xslF345X05/ownership.xml,2025-07-02,-1.0
2024-04-30,Common Stock,4000.0,151.42999267578125,11313.58984375,0000950170-25-061979,DeSalvo Karen B,Director,2025-04-30,766704,1722342,Sell,Direct,https://www.sec.gov/Archives/edgar/data/766704/000095017025061979/xslF345X05/ownership.xml,2025-05-01,-1.0
2024-12-09,Common Stock,2200.0,130.19000244140625,12379.0,0000950170-24-135012,BACON KENNETH J,Director,2024-12-09,766704,1204117,Sell,Direct,https://www.sec.gov/Archives/edgar/data/766704/000095017024135012/xslF345X05/ownership.xml,2024-12-10,-1.0
2024-06-04,Common Stock,1800.0,103.91000366210938,14579.0,0000950170-24-069449,BACON KENNETH J,Director,2024-06-04,766704,1204117,Sell,Direct,https://www.sec.gov/Archives/edgar/data/766704/000095017024069449/xslF345X05/ownership.xml,2024-06-05,-1.0
2025-06-04,Class A  Common  Stock,5607.0,55.369998931884766,133923.0,0001628280-25-029763,Tomsic Steven,Chief Financial Officer,2025-06-03,1754301,1764953,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1754301/000162828025029763/xslF345X05/wk-form4_1749160111.xml,2025-06-05,-1.0
2025-06-04,Class A  Common  Stock,5607.0,55.369998931884766,133923.0,0001628280-25-029763,Tomsic Steven,Chief Financial Officer,2025-06-03,1754301,1764953,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1754301/000162828025029763/xslF345X05/wk-form4_1749160111.xml,2025-06-05,-1.0
2025-02-05,Class A  Common  Stock,84.0,54.130001068115234,0.0,0001628280-25-004165,Ciongoli Adam G.,Chief Legal and Policy Officer,2025-02-05,1754301,1395576,Sell,Indirect,https://www.sec.gov/Archives/edgar/data/1395576/000162828025004165/xslF345X05/wk-form4_1738802293.xml,2025-02-05,-1.0
2024-11-25,Class A  Common  Stock,186871.0,46.220001220703125,0.0,0001628280-24-049348,MURDOCH  KEITH  RUPERT,Other,2024-11-25,1754301,1024835,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1024835/000162828024049348/xslF345X05/wk-form4_1732670508.xml,2024-11-26,-1.0
2024-11-26,Class A  Common  Stock,771024.0,46.06999969482422,0.0,0001628280-24-049348,MURDOCH  KEITH  RUPERT,Other,2024-11-25,1754301,1024835,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1024835/000162828024049348/xslF345X05/wk-form4_1732670508.xml,2024-11-26,-1.0
2024-08-15,Class A  Common  Stock,119705.0,39.060001373291016,152.0,0001628280-24-037599,MURDOCH LACHLAN K,"Executive Chair, CEO",2024-08-15,1754301,1242818,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1242818/000162828024037599/xslF345X05/wk-form4_1723844704.xml,2024-08-16,-1.0
2025-05-21,Class B Common Stock,1333.0,56.29090118408203,27595.0,0001214659-25-008188,Molson Geoffrey E.,Director,2025-05-19,24545,1465532,Sell,Direct,https://www.sec.gov/Archives/edgar/data/24545/000121465925008188/xslF345X05/marketforms-69565.xml,2025-05-21,-1.0
2025-04-27,"Common Stock, par value $0.01 per share",832258.0,11.010000228881836,657308.0,0001554687-25-000001,Pessina Stefano,Executive Chairman of Board,2025-04-27,1618921,1554687,Sell,Direct,https://www.sec.gov/Archives/edgar/data/1554687/000155468725000001/xslF345X05/primary_doc.xml,2025-04-29,-1.0
2025-04-27,"Common Stock, par value $0.01 per share",832258.0,11.010000228881836,145621079.0,0001554687-25-000001,Pessina Stefano,Executive Chairman of Board,2025-04-27,1618921,1554687,Buy,Indirect,https://www.sec.gov/Archives/edgar/data/1554687/000155468725000001/xslF345X05/primary_doc.xml,2025-04-29,-1.0
